cue,switch_bfstm,vita_dpk_index,orig_candidate,switch_dur,vita_dur,similarity,dur_ratio,verdict
Y2_11_E_A,Y2_11_E_A.dspadpcm.bfstm,6748,6750,1.592,1.621,,0.982,no-speech-durmatch
Y2_11_E_B,Y2_11_E_B.dspadpcm.bfstm,6750,6751,1.795,1.749,0.573,0.974,confirmed
Y2_11_N_A,Y2_11_N_A.dspadpcm.bfstm,6753,6756,1.592,1.899,0.717,0.838,confirmed
Y2_11_N_B,Y2_11_N_B.dspadpcm.bfstm,6761,6757,1.795,1.963,0.66,0.914,confirmed
Y2_12_E_A,Y2_12_E_A.dspadpcm.bfstm,6762,6762,1.368,1.621,,0.844,no-speech-durmatch
Y2_12_E_B,Y2_12_E_B.dspadpcm.bfstm,6763,6763,1.653,1.664,0.67,0.993,confirmed
Y2_12_N_A,Y2_12_N_A.dspadpcm.bfstm,6765,6768,1.368,1.749,0.87,0.782,confirmed
Y2_12_N_B,Y2_12_N_B.dspadpcm.bfstm,6769,6769,1.653,1.664,0.522,0.993,confirmed
Y2_13_E_A,Y2_13_E_A.dspadpcm.bfstm,6774,6774,1.427,1.749,,0.816,no-speech-durmatch
Y2_13_E_B,Y2_13_E_B.dspadpcm.bfstm,6776,6775,1.642,2.091,0.616,0.785,confirmed
Y2_13_N_A,Y2_13_N_A.dspadpcm.bfstm,6779,6780,1.427,1.941,0.634,0.735,confirmed
Y2_13_N_B,Y2_13_N_B.dspadpcm.bfstm,6780,6781,1.642,1.899,0.627,0.865,confirmed
Y2_14_E_A,Y2_14_E_A.dspadpcm.bfstm,6781,6784,1.677,1.835,,0.914,no-speech-durmatch
Y2_14_E_B,Y2_14_E_B.dspadpcm.bfstm,6784,6785,1.903,2.005,,0.949,no-speech-durmatch
Y2_14_N_A,Y2_14_N_A.dspadpcm.bfstm,6787,6790,1.677,1.728,0.519,0.97,confirmed
Y2_14_N_B,Y2_14_N_B.dspadpcm.bfstm,6797,6791,1.903,2.091,0.667,0.91,confirmed
Y2_15_E_A,Y2_15_E_A.dspadpcm.bfstm,6799,6796,2.019,1.771,0.622,0.877,confirmed
Y2_15_E_B,Y2_15_E_B.dspadpcm.bfstm,6800,6797,1.997,2.261,0.73,0.883,confirmed
Y2_15_N_A,Y2_15_N_A.dspadpcm.bfstm,6802,6802,2.019,2.133,0.666,0.947,confirmed
Y2_15_N_B,Y2_15_N_B.dspadpcm.bfstm,6803,6803,1.997,2.091,0.764,0.955,confirmed
Y2_16_E_A,Y2_16_E_A.dspadpcm.bfstm,6812,6808,2.056,2.347,0.798,0.876,confirmed
Y2_16_E_B,Y2_16_E_B.dspadpcm.bfstm,6815,6810,1.599,2.155,0.877,0.742,confirmed
Y2_16_N_A,Y2_16_N_A.dspadpcm.bfstm,6816,6815,2.056,2.219,0.798,0.927,confirmed
Y2_16_N_B,Y2_16_N_B.dspadpcm.bfstm,6817,6816,1.599,2.347,0.802,0.681,confirmed
Y2_17_E_A,Y2_17_E_A.dspadpcm.bfstm,6819,6821,1.717,2.411,0.695,0.712,confirmed
Y2_17_E_B,Y2_17_E_B.dspadpcm.bfstm,6828,6822,1.64,1.899,0.814,0.864,confirmed
Y2_17_N_A,Y2_17_N_A.dspadpcm.bfstm,6830,6827,1.717,2.219,0.678,0.774,confirmed
Y2_17_N_B,Y2_17_N_B.dspadpcm.bfstm,6831,6828,1.64,2.069,0.835,0.793,confirmed
